"","ZEIT","182","183","184","185","281","282","283","284","285","286","287","288","289","290","291","292","352","353","354","355","368","369","370","371","388","389","390","391","392","393","394","395","396","397","417","418","420","421","422","423","491","492","493","494","495","496","497","498","499","500","501","502","503","504","505","506","507","508","509","510","511","512","513","514","769","770","909","910","911","912","913","914","915","916","921","922","923","924","925","926","1076","1077","1078","1079","1080","1081","1082","1083","1084","1085","1086","1087","1088","1089","1090","1091","1092","1093","1094","1117","1118","1119","1128","1129","1130","1131","1132","1133","1134","1135","1136","1137","1138","1139","1140","1141","1142","1143","1144","1178","1179","1180","1181","1182","1183","1184","1185"
"5347","2015-07-04 17:06:00",6,4,2,2,5,5,4,0,1,6,2,0,13,16,9,8,9,8,11,12,7,5,0,0,18,14,10,3,10,6,4,1,1,0,4,9,2,1,2,3,3,3,11,14,9,5,4,3,0,2,7,8,2,5,3,10,4,9,6,2,8,8,4,7,3,0,3,1,1,0,1,1,3,0,9,2,2,11,6,9,2,2,1,2,2,0,1,0,0,4,1,5,0,8,1,4,15,7,2,5,1,13,1,3,2,13,5,4,1,7,1,5,1,4,1,8,5,0,1,3,2,4,2,7,4,2,2
"5348","2015-07-04 17:07:00",4,3,4,4,7,5,6,0,8,8,12,15,6,6,8,8,11,4,2,0,15,2,16,0,7,3,5,1,7,6,7,2,6,3,5,7,5,2,4,1,3,3,1,2,10,7,13,6,8,8,6,7,2,1,3,1,2,2,5,4,7,3,5,2,8,1,5,7,9,4,3,3,4,0,3,0,3,11,9,6,4,1,5,5,8,3,4,2,0,3,1,7,1,8,2,13,11,1,9,1,0,7,9,10,5,15,2,7,6,4,2,6,3,2,8,1,0,9,10,10,10,2,2,9,2,5,4
"5349","2015-07-04 17:08:00",2,1,2,2,1,1,5,0,1,1,7,6,8,12,6,5,6,2,9,10,4,8,0,0,9,5,9,6,5,5,6,3,9,1,6,5,1,2,3,0,5,5,9,7,12,9,8,10,5,3,2,4,5,11,4,3,3,4,2,2,6,8,6,12,13,6,1,0,2,1,8,2,11,7,11,6,2,6,1,14,8,1,5,4,5,2,3,1,2,11,1,4,1,9,3,7,11,6,5,7,0,5,0,3,3,5,0,2,1,4,4,2,4,12,9,13,4,6,4,6,1,3,1,6,3,4,1
"5350","2015-07-04 17:09:00",7,7,0,0,5,7,4,0,12,17,8,11,4,3,8,6,6,4,6,7,10,1,12,0,10,7,7,3,11,4,5,5,1,1,9,2,4,3,3,4,7,4,14,10,5,2,6,1,4,5,7,5,3,3,6,9,2,6,5,1,7,6,12,8,2,1,12,5,6,1,2,0,5,2,18,2,2,6,7,13,0,1,4,0,3,0,0,0,0,7,2,2,0,5,2,13,5,6,6,6,2,14,2,10,5,8,5,8,4,8,3,0,3,8,4,8,6,3,5,3,7,3,1,1,1,2,0
"5351","2015-07-04 17:10:00",3,1,6,9,6,1,9,0,6,6,7,9,6,1,11,7,8,2,16,10,7,10,0,0,3,2,3,1,9,4,6,4,10,4,4,8,1,3,2,0,8,10,0,0,4,3,10,7,3,4,6,5,3,4,7,3,1,4,15,1,2,1,7,7,13,2,3,2,4,0,3,2,6,1,16,4,4,10,10,4,4,6,3,1,6,1,1,12,2,4,3,5,2,4,0,6,5,4,10,4,2,1,1,4,1,12,4,10,9,9,4,10,7,6,9,6,5,9,3,3,3,7,0,5,4,2,4
"5352","2015-07-04 17:11:00",6,6,0,3,3,2,2,0,7,3,1,0,14,16,4,9,13,4,15,14,14,1,18,0,11,7,19,10,7,3,7,3,6,2,5,3,4,3,4,0,7,3,8,13,8,8,10,12,3,3,6,3,2,5,3,3,7,6,7,2,13,7,12,0,3,0,4,0,13,6,1,0,7,4,4,0,4,3,8,8,6,2,4,1,3,1,1,1,0,5,2,6,1,9,2,18,22,6,0,3,1,9,5,13,7,6,2,6,4,11,4,5,5,10,15,5,3,9,3,4,4,4,1,4,3,5,3
"5353","2015-07-04 17:12:00",9,8,3,5,6,2,6,0,15,13,11,6,18,20,11,5,8,5,1,2,5,7,0,0,4,3,3,1,4,1,2,1,6,1,12,10,2,1,2,0,4,0,8,10,11,3,8,5,2,5,9,3,1,1,6,2,2,7,5,0,2,3,2,3,15,5,4,2,7,4,10,8,2,1,18,3,8,7,6,11,5,2,4,2,7,4,3,5,1,5,1,9,0,4,1,12,9,9,4,1,0,8,1,2,2,13,6,10,3,4,1,1,2,6,9,6,3,9,6,3,5,7,1,9,3,0,2
"5354","2015-07-04 17:13:00",0,0,1,2,3,2,9,0,3,3,8,6,17,16,13,9,6,2,11,8,10,8,12,0,2,2,7,4,7,5,5,2,8,1,2,5,6,1,4,5,7,7,2,4,12,4,10,7,8,4,2,0,5,7,3,2,4,3,14,4,11,14,10,7,6,2,1,0,3,0,2,6,10,2,2,0,1,3,6,6,2,2,6,1,5,3,0,1,1,9,2,7,2,9,2,9,6,8,9,8,1,5,5,11,5,9,5,10,3,2,1,6,10,7,7,12,4,5,4,3,1,4,1,6,3,4,5
"5355","2015-07-04 17:14:00",7,5,1,3,6,7,0,0,8,9,7,3,12,8,7,11,13,6,7,6,3,7,0,0,11,10,14,7,7,4,4,2,3,0,12,13,11,1,6,4,2,1,12,12,3,3,14,6,4,3,6,4,4,3,4,4,11,2,4,0,2,1,2,6,5,0,6,3,14,4,1,0,4,1,9,2,6,8,13,8,3,3,6,3,2,0,0,5,3,2,0,6,0,7,1,7,14,5,3,6,1,13,0,0,0,4,3,13,4,8,2,7,8,10,10,6,5,4,1,3,6,3,2,4,3,3,1
"5356","2015-07-04 17:15:00",9,5,5,3,9,10,12,0,7,6,11,11,10,17,11,8,6,2,10,5,15,0,17,0,1,0,14,7,9,6,2,2,7,2,5,1,2,1,2,2,4,9,3,4,9,4,9,3,5,5,13,10,2,6,3,7,3,2,5,2,9,14,8,10,16,5,4,1,2,1,9,10,8,3,3,0,5,5,3,12,4,4,4,0,7,0,1,7,2,7,0,7,4,10,1,10,25,0,2,3,0,6,1,5,7,4,1,8,2,4,0,3,3,6,3,13,11,6,10,4,3,3,1,8,4,3,4
